topicId,weight,count_all,word_u,source
1,0.00187384243196,2642,polityk,Super_Express
1,0.001856633634,2641,rodzina,Super_Express
1,0.00182996366746,2536,partia,Super_Express
2,0.00281302089896,3936,policja,Super_Express
2,0.00277834129349,3927,pis,Super_Express
2,0.00276292278242,3762,mezczyzna,Super_Express
2,0.00260656336108,3682,kobieta,Super_Express
2,0.00229627109598,3174,duda,Super_Express
2,0.00219524223049,2988,rzad,Super_Express
2,0.00209784356833,2861,pomoc,Super_Express
2,0.00201841507867,2710,kaczynski,Super_Express
2,0.00195907737876,2693,prawo,Super_Express
2,0.00193281512191,2641,rodzina,Super_Express
2,0.00189119752538,2642,polityk,Super_Express
2,0.00189028235514,2702,minister,Super_Express
2,0.00187284584314,2494,godzina,Super_Express
2,0.00184399574671,2536,partia,Super_Express
2,0.00183941972914,2559,andrzej,Super_Express
3,0.00287516501056,3927,pis,Super_Express
3,0.00282392397012,3762,mezczyzna,Super_Express
3,0.00282198844688,3936,policja,Super_Express
3,0.00266104794088,3682,kobieta,Super_Express
3,0.00227163873322,3174,duda,Super_Express
3,0.00211033677142,2988,rzad,Super_Express
3,0.00207759186763,2702,minister,Super_Express
3,0.00199691547039,2861,pomoc,Super_Express
3,0.00198048914814,2641,rodzina,Super_Express
3,0.00197824425754,2693,prawo,Super_Express
3,0.00194875821257,2710,kaczynski,Super_Express
3,0.00194667982198,2642,polityk,Super_Express
3,0.00186797062574,2559,andrzej,Super_Express
3,0.00180650525394,2571,posel,Super_Express
3,0.00180451632346,2494,godzina,Super_Express
4,0.00288074060407,3936,policja,Super_Express
4,0.00282341431555,3927,pis,Super_Express
4,0.00271877114533,3762,mezczyzna,Super_Express
4,0.00267606921941,3682,kobieta,Super_Express
4,0.00220077852167,3174,duda,Super_Express
4,0.00219609036521,2988,rzad,Super_Express
4,0.0021251670474,2861,pomoc,Super_Express
4,0.00198703389292,2710,kaczynski,Super_Express
4,0.0019513951854,2693,prawo,Super_Express
4,0.0019023279622,2642,polityk,Super_Express
4,0.00186964865359,2536,partia,Super_Express
4,0.00186850531021,2641,rodzina,Super_Express
4,0.00186030581009,2559,andrzej,Super_Express
4,0.00183548399005,2702,minister,Super_Express
4,0.00182524507364,2494,godzina,Super_Express
5,0.00285426591864,3936,policja,Super_Express
